iter	Logloss
0	0.6696399193
1	0.6481024666
2	0.6277467346
3	0.6098714382
4	0.593145826
5	0.5774651417
6	0.5629904547
7	0.5502820147
8	0.5384889487
9	0.5273572363
10	0.5166852317
11	0.5072502297
12	0.4981413321
13	0.489429164
14	0.4820035048
15	0.4754056633
16	0.4691713591
17	0.4630970929
18	0.4578104179
19	0.4526403249
20	0.447788224
21	0.4435233625
22	0.4392236497
23	0.4352727821
24	0.4319703409
25	0.4289615509
26	0.4259310352
27	0.4233529063
28	0.4205004715
29	0.4181616677
30	0.4158589998
31	0.4137479515
32	0.4115505756
33	0.4095746329
34	0.4076707105
35	0.406101791
36	0.4046590734
37	0.4031205847
38	0.4019240911
39	0.4006211908
40	0.3995822564
41	0.3986744162
42	0.3975022443
43	0.3966040376
44	0.3956937411
45	0.3948916601
46	0.3940226313
47	0.3931055753
48	0.3922577862
49	0.3916291067
50	0.3910424097
51	0.3904673834
52	0.3898901535
53	0.389321944
54	0.3887455024
55	0.3882986535
56	0.3878876615
57	0.3873839793
58	0.3869489863
59	0.386543816
60	0.3861551235
61	0.3858640589
62	0.3855954411
63	0.3852939773
64	0.3849486217
65	0.3846888643
66	0.3843678231
67	0.3839867297
68	0.3837384514
69	0.3836194616
70	0.3833504076
71	0.3830707086
72	0.382833749
73	0.3826045712
74	0.3823466374
75	0.3821868362
76	0.3819872417
77	0.3817995667
78	0.3816484757
79	0.3814450747
80	0.3812816236
81	0.3811402271
82	0.3809902161
83	0.3808453488
84	0.380750913
85	0.3805956852
86	0.3805019493
87	0.3803895127
88	0.3802881247
89	0.3802090231
90	0.3801471188
91	0.380030331
92	0.3799266679
93	0.3798345233
94	0.3797290391
95	0.3796386428
96	0.379531584
97	0.3794603199
98	0.3793666331
99	0.3792979138
100	0.3792301566
101	0.3791501369
102	0.3790818435
103	0.3790071644
104	0.3789606608
105	0.3789173086
106	0.3788699462
107	0.3788387042
108	0.3787987091
109	0.3787340013
110	0.3787012556
111	0.3786481048
112	0.3785917834
113	0.3785504506
114	0.3785125548
115	0.3784751261
116	0.3784356654
117	0.3784056017
118	0.3783484117
119	0.3783040425
120	0.3782626382
121	0.3782122119
122	0.3781790067
123	0.3781524184
124	0.3781117514
125	0.3780833051
126	0.3780550772
127	0.3780293193
128	0.3779873731
129	0.3779602094
130	0.3779223169
131	0.377892913
132	0.3778566703
133	0.3778285018
134	0.3777942287
135	0.3777665204
136	0.377745686
137	0.3777230607
138	0.3777026034
139	0.3776837367
140	0.3776424589
141	0.3776088017
142	0.3775836429
143	0.3775606025
144	0.3775442596
145	0.3775176199
146	0.3774784309
147	0.3774562818
148	0.3774217255
149	0.3774067507
150	0.3773932637
151	0.3773658569
152	0.3773499498
153	0.3773184608
154	0.3772955503
155	0.377277935
156	0.3772461618
157	0.3772120336
158	0.3771847942
159	0.377165199
160	0.3771381472
161	0.3771156326
162	0.377105025
163	0.3770835097
164	0.3770708877
165	0.3770365077
166	0.3770261466
167	0.3769975568
168	0.3769817443
169	0.3769537268
170	0.3769426202
171	0.3769050214
172	0.3768916829
173	0.3768689375
174	0.3768566026
175	0.3768455303
176	0.3768186343
177	0.3768081896
178	0.376790676
179	0.3767758377
180	0.376765189
181	0.3767559737
182	0.3767452742
183	0.376726509
184	0.3767157609
185	0.3767032607
186	0.3766913605
187	0.3766744093
